name              ; precision;    recall;   f-score;   support
Abgaryan;1.0;1.0;1.0;7
Adamov;1.0;1.0;1.0;3
Aksakov;1.0;1.0;1.0;5
AkuninBorisova;1.0;1.0;1.0;1
AkuninBrusnikin;1.0;1.0;1.0;3
Akunin;1.0;1.0;1.0;11
Aldanov;1.0;1.0;1.0;20
Aleshkovsky;1.0;1.0;1.0;6
Alexander Hofman;1.0;1.0;1.0;1
Astafiev;1.0;1.0;1.0;4
Bakhtin;1.0;1.0;1.0;4
Barinova;1.0;1.0;1.0;1
bashinform 202;1.0;1.0;1.0;1
Belyaev;1.0;1.0;1.0;10
Belyanin;1.0;1.0;1.0;8
Bobkova;1.0;1.0;1.0;1
BonchOsmolovskaya;1.0;1.0;1.0;4
Brustein;1.0;1.0;1.0;7
Bulgakov;1.0;1.0;1.0;8
Bulychev;1.0;1.0;1.0;11
Bushkov;1.0;1.0;1.0;10
Bykov;1.0;1.0;1.0;9
Chechin;1.0;1.0;1.0;1
Chekhov;1.0;1.0;1.0;10
Cherkasova;1.0;1.0;1.0;6
Convlab;1.0;1.0;1.0;3
Derevyanko;1.0;1.0;1.0;1
DoctorPiter;1.0;1.0;1.0;1
Dombrowski;1.0;1.0;1.0;8
Doronina;1.0;1.0;1.0;1
Dostoevsky;1.0;1.0;1.0;14
Dovlatov;1.0;1.0;1.0;7
Dragunski;1.0;1.0;1.0;4
Drobyshevsky Rupasova;1.0;1.0;1.0;1
Drobyshevsky;1.0;1.0;1.0;4
Dubchak;1.0;1.0;1.0;1
EdimDoma;1.0;1.0;1.0;1
Efremov;1.0;1.0;1.0;9
Epstein;1.0;1.0;1.0;3
Exler;1.0;1.0;1.0;5
Fadeev;1.0;1.0;1.0;4
Furmanov;1.0;1.0;1.0;5
Gachev;1.0;1.0;1.0;3
Gasymov;1.0;1.0;1.0;2
Gaydar;1.0;1.0;1.0;4
GazetaRu;1.0;1.0;1.0;1
Gelb;1.0;1.0;1.0;4
Gorelov;1.0;1.0;1.0;1
GorVestnik;1.0;1.0;1.0;1
Granin;1.0;1.0;1.0;6
Grekova;1.0;1.0;1.0;8
Grin;1.0;1.0;1.0;8
Gusev;1.0;1.0;1.0;2
Gusiatnikova;1.0;1.0;1.0;1
Hoffman;1.0;1.0;1.0;5
Kassil;1.0;1.0;1.0;9
Kataev;1.0;1.0;1.0;9
Kaverin;1.0;1.0;1.0;13
Kirsanova Anodina Aksenov;1.0;1.0;1.0;1
Knabe;1.0;1.0;1.0;2
Koni;1.0;1.0;1.0;1
Kozlov;1.0;1.0;1.0;5
Krapivin;1.0;1.0;1.0;14
Kuprin;1.0;1.0;1.0;9
Lermontov;1.0;1.0;1.0;3
Losev;1.0;1.0;1.0;10
Lubimova;1.0;1.0;1.0;1
Lukyanenko;1.0;1.0;1.0;8
Lungu;1.0;1.0;1.0;1
Makushinskiyi;1.0;1.0;1.0;6
Malevish;1.0;1.0;1.0;3
Mamin-Sibiryak;1.0;1.0;1.0;10
Mamina;1.0;1.0;1.0;1
Marchik;1.0;1.0;1.0;1
Marinina;1.0;1.0;1.0;10
Mikhalkov;1.0;1.0;1.0;2
Moshkov;1.0;1.0;1.0;5
NakedScience;1.0;1.0;1.0;1
nlobooks[ru];1.0;1.0;1.0;1
Nosov;1.0;1.0;1.0;5
Oseeva;1.0;1.0;1.0;5
Oster;1.0;1.0;1.0;2
Plevako;1.0;1.0;1.0;1
Preobrazhensky;1.0;1.0;1.0;4
Prokofeva;1.0;1.0;1.0;4
Pushkin;1.0;1.0;1.0;2
pvlida;1.0;1.0;1.0;1
Regentov;1.0;1.0;1.0;5
Rubina;1.0;1.0;1.0;3
Rybakov;1.0;1.0;1.0;9
Salnikov;1.0;1.0;1.0;3
SaltykovSchedrin;1.0;1.0;1.0;8
Semihatov;1.0;1.0;1.0;1
Serafimovich;1.0;1.0;1.0;9
Sergeev-Tsenskij;1.0;1.0;1.0;4
Shevtsov;1.0;1.0;1.0;2
Shukshin;1.0;1.0;1.0;2
ShushpanovLouk;1.0;1.0;1.0;1
Shushpanov;1.0;1.0;1.0;2
Simonov;1.0;1.0;1.0;4
Soloviev;1.0;1.0;1.0;1
Solovyov;1.0;1.0;1.0;1
Stepnova;1.0;1.0;1.0;4
Strugatskie;1.0;1.0;1.0;10
Tamonikov;1.0;1.0;1.0;7
TEDRus;1.0;1.0;1.0;1
Teffi;1.0;1.0;1.0;5
Tolstoy;1.0;1.0;1.0;16
Turgenev;1.0;1.0;1.0;5
Uspensky;1.0;1.0;1.0;9
Vainery;1.0;1.0;1.0;11
vestnik nsu;1.0;1.0;1.0;2
VestnikRayona;1.0;1.0;1.0;1
Vladimirova;1.0;1.0;1.0;1
Vlasova;1.0;1.0;1.0;3
Voinovich;1.0;1.0;1.0;10
Volkov;1.0;1.0;1.0;6
Vorotyntseva;1.0;1.0;1.0;1
YasenevoMedia;1.0;1.0;1.0;1
Zemlyanoj;1.0;1.0;1.0;12
Zhitkov;1.0;1.0;1.0;5
ZlotnikovNikolaev;1.0;1.0;1.0;3
Zlotnikov;1.0;1.0;1.0;3
Zoschenko;1.0;1.0;1.0;7
